Vehicle_Name,Name,Price,StockType,Distance_from_30332,Dealership,Year,Make,Model
2021 Toyota 4Runner,2021 Toyota 4Runner Limited,50980,Toyota Certified,17,Nalley Toyota Stonecrest,2021,Toyota,4Runner
2018 Toyota Tacoma,2018 Toyota Tacoma Limited,44990,Used,140,Driver's Way,2018,Toyota,Tacoma
2019 Toyota RAV4,2019 Toyota RAV4 Hybrid XSE,49591,Toyota Certified,35,Beaver Toyota Cumming,2019,Toyota,RAV4
2019 Toyota RAV4,2019 Toyota RAV4 LE,29891,Used,135,Jim Hudson Acura,2019,Toyota,RAV4
2017 Toyota Tacoma,2017 Toyota Tacoma SR,26690,Used,133,Serra Nissan,2017,Toyota,Tacoma
2016 Toyota Prius,2016 Toyota Prius Four,18988,Used,21,Subaru of Gwinnett,2016,Toyota,Prius
2021 Toyota 4Runner,2021 Toyota 4Runner Nightshade,55875,Used,86,Cooper Chevrolet Buick,2021,Toyota,4Runner
2015 Toyota 4Runner,2015 Toyota 4Runner Limited,36990,Used,31,Toyota of Newnan,2015,Toyota,4Runner
2011 Toyota Avalon,2011 Toyota Avalon ,12500,Used,9,1st Choice Autos,2011,Toyota,Avalon
2015 Toyota Sienna,2015 Toyota Sienna XLE Premium,20850,Used,130,Brockman Autos LLC,2015,Toyota,Sienna
2019 Toyota Tundra,2019 Toyota Tundra Platinum,49999,Used,191,"Vroom - Get It Delivered Nationwide, Contact-Free",2019,Toyota,Tundra
2019 Toyota Highlander,2019 Toyota Highlander LE Plus,35250,Toyota Certified,17,Nalley Toyota Stonecrest,2019,Toyota,Highlander
2019 Toyota Tacoma,2019 Toyota Tacoma ,43390,Used,200,Bentley Chevrolet,2019,Toyota,Tacoma
2016 Toyota Highlander,2016 Toyota Highlander Limited,34980,Used,17,Nalley Toyota Stonecrest,2016,Toyota,Highlander
2018 Toyota Highlander,2018 Toyota Highlander XLE,37550,Toyota Certified,17,Nalley Toyota Stonecrest,2018,Toyota,Highlander
2019 Toyota Camry,2019 Toyota Camry SE,31991,Used,140,Jack Ingram Motors,2019,Toyota,Camry
2017 Toyota Tundra,2017 Toyota Tundra ,45767,Used,197,Parks Motor Sales Inc,2017,Toyota,Tundra
2021 Toyota RAV4,2021 Toyota RAV4 LE,33518,Used,149,Bob Richards Toyota,2021,Toyota,RAV4
2018 Toyota Highlander,2018 Toyota Highlander LE Plus,33993,Used,99,Toyota of Cleveland,2018,Toyota,Highlander
2018 Toyota Highlander,2018 Toyota Highlander Limited,35795,Used,18,Honda Carland,2018,Toyota,Highlander
2017 Toyota 4Runner,2017 Toyota 4Runner SR5,39619,Used,160,Apple Tree Acura,2017,Toyota,4Runner
2013 Toyota Highlander,2013 Toyota Highlander Base Plus,20000,Used,156,TLC Motors,2013,Toyota,Highlander
2013 Toyota Highlander,2013 Toyota Highlander SE,16950,Used,97,Lexus of Chattanooga,2013,Toyota,Highlander
2017 Toyota Sienna,2017 Toyota Sienna L,26590,Used,195,Carvana-Touchless Delivery To Your Home,2017,Toyota,Sienna
2019 Toyota Tacoma,2019 Toyota Tacoma SR,32990,Used,102,Carvana-Touchless Delivery To Your Home,2019,Toyota,Tacoma
2021 Toyota Highlander,2021 Toyota Highlander Platinum,52992,Toyota Certified,99,Toyota of Cleveland,2021,Toyota,Highlander
2019 Toyota Tacoma,2019 Toyota Tacoma SR,30735,Used,140,Royal Automotive,2019,Toyota,Tacoma
2018 Toyota Camry,2018 Toyota Camry LE,17999,Used,145,"Vroom - Get It Delivered Nationwide, Contact-Free",2018,Toyota,Camry
2017 Toyota Camry,2017 Toyota Camry SE,19895,Used,182,Speedway Motors Inc.,2017,Toyota,Camry
